ip,alert_count,vt_status,threat
8.42.77.171,52,clean,YES
185.53.91.55,6,clean,YES
92.63.194.33,6,clean,YES
37.49.231.178,6,clean,YES
194.28.115.243,4,malicious,YES
185.244.25.145,3,malicious,YES
185.176.27.62,3,clean,нет
185.53.91.29,3,clean,нет
31.192.108.68,3,clean,нет
61.176.222.167,3,clean,нет
5.188.206.22,3,malicious,YES
78.128.112.98,3,malicious,YES
80.211.246.121,3,clean,нет
45.62.211.169,3,clean,нет
43.227.231.129,3,clean,нет
185.53.91.65,3,clean,нет
194.28.115.245,3,clean,нет
37.49.231.72,3,clean,нет
185.176.27.246,3,malicious,YES
185.176.27.6,3,malicious,YES
92.63.194.38,3,clean,нет
92.53.90.212,3,clean,нет
59.47.71.13,3,clean,нет
92.63.194.28,3,clean,нет
92.63.194.43,3,clean,нет
92.63.194.18,3,clean,нет
92.53.90.179,3,clean,нет
176.119.4.50,2,clean,нет
185.255.31.6,2,clean,нет
92.53.76.213,2,clean,нет
190.61.31.105,2,clean,нет
88.214.26.54,2,malicious,YES
176.119.4.77,2,clean,нет
185.176.27.102,2,clean,нет
185.176.27.50,2,malicious,YES
185.211.245.168,2,clean,нет
109.248.9.13,2,clean,нет
176.119.4.22,2,clean,нет
120.52.152.16,2,clean,нет
176.119.4.35,2,clean,нет
176.119.4.37,2,clean,нет
176.119.4.29,2,clean,нет
176.119.4.73,2,clean,нет
176.119.4.12,2,clean,нет
185.253.157.100,2,clean,нет
176.119.4.9,2,clean,нет
185.176.27.2,2,malicious,YES
185.176.27.58,2,clean,нет
176.119.4.18,2,clean,нет
176.119.4.28,1,clean,нет
176.119.4.11,1,clean,нет
138.68.3.71,1,clean,нет
176.119.4.26,1,clean,нет
172.93.97.106,1,clean,нет
103.94.2.20,1,clean,нет
185.244.25.216,1,malicious,YES
185.244.25.167,1,clean,нет
185.211.245.157,1,clean,нет
185.244.25.105,1,clean,нет
185.176.27.98,1,clean,нет
185.176.27.34,1,malicious,YES
185.176.27.30,1,malicious,YES
185.176.27.26,1,malicious,YES
185.176.27.38,1,malicious,YES
183.62.210.228,1,clean,нет
176.119.4.39,1,clean,нет
176.119.4.49,1,clean,нет
176.119.4.51,1,clean,нет
185.176.27.14,1,malicious,YES
184.105.139.67,1,malicious,YES
1.169.38.217,1,clean,нет
113.10.171.28,1,clean,нет
112.140.186.244,1,clean,нет
109.248.9.14,1,clean,нет
107.175.128.157,1,clean,нет
120.192.150.234,1,clean,нет
116.112.214.134,1,clean,нет
119.57.173.243,1,clean,нет
119.180.27.2,1,clean,нет
123.161.205.21,1,clean,нет
122.60.171.48,1,clean,нет
122.10.90.9,1,malicious,YES
199.231.226.166,1,clean,нет
187.188.85.53,1,clean,нет
185.255.31.78,1,clean,нет
198.108.67.100,1,clean,нет
185.253.157.102,1,clean,нет
5.141.67.237,1,clean,нет
5.101.40.81,1,clean,нет
46.100.43.82,1,clean,нет
37.49.231.125,1,clean,нет
213.14.156.109,1,clean,нет
221.229.166.37,1,clean,нет
31.163.158.140,1,clean,нет
37.49.228.121,1,clean,нет
205.209.162.131,1,clean,нет
212.118.117.245,1,clean,нет
205.209.158.36,1,clean,нет
198.108.67.51,1,clean,нет
198.108.67.78,1,clean,нет
198.108.67.90,1,clean,нет
198.108.67.99,1,clean,нет
58.218.213.6,1,clean,нет
80.82.77.33,1,malicious,YES
80.211.172.233,1,clean,нет
71.6.199.23,1,malicious,YES
71.6.232.4,1,malicious,YES
66.240.236.119,1,malicious,YES
58.215.57.185,1,clean,нет
58.48.32.199,1,clean,нет
61.219.11.151,1,malicious,YES
5.42.250.179,1,clean,нет
91.245.36.26,1,clean,нет
89.248.167.131,1,malicious,YES
89.248.168.51,1,malicious,YES
82.202.209.155,1,clean,нет
88.202.190.148,1,malicious,YES
82.202.197.192,1,clean,нет
88.202.190.157,1,malicious,YES
